Month,Energy_Source,Energy_MWh
2023-01,Wind,280
2023-01,Solar,60
2023-01,Biogas,120
2023-02,Wind,300
2023-02,Solar,90
2023-02,Biogas,120
2023-03,Wind,320
2023-03,Solar,140
2023-03,Biogas,120
2023-04,Wind,310
2023-04,Solar,180
2023-04,Biogas,120
2023-05,Wind,290
2023-05,Solar,220
2023-05,Biogas,120
2023-06,Wind,270
2023-06,Solar,260
2023-06,Biogas,120
2023-07,Wind,260
2023-07,Solar,280
2023-07,Biogas,120
2023-08,Wind,250
2023-08,Solar,260
2023-08,Biogas,120
2023-09,Wind,270
2023-09,Solar,220
2023-09,Biogas,120
2023-10,Wind,300
2023-10,Solar,160
2023-10,Biogas,120
2023-11,Wind,320
2023-11,Solar,90
2023-11,Biogas,120
2023-12,Wind,340
2023-12,Solar,50
2023-12,Biogas,120
